ThresholdType,CueType,T,N,K,P,Beta,Mu,Sigma,s,l,DOL,TaskSwitches,Loading,TimetoEq
Composite Threshold,Task Completion,2,688,0.0020173189680211,0.511652742706653,9.35425266587702,0.885111245723052,0.0987359830006763,NaN,NaN,0.0391718748461255,1371448,-43913.268731815,1436
Random Choice,Task Completion,2,688,0.0020173189680211,0.511652742706653,9.35425266587702,0.885111245723052,0.0987359830006763,0.824338966271781,0.558579013809582,0.000230213147643701,2289803,5130.73126818496,4895
Response Threshold,Task Demand,4,178,0.00619783813736118,0.919567893228062,1.00661442971383,0.750920325600281,0.586864325288504,NaN,NaN,0.0551078219191187,312669,-2360.1497048125,1169
Satisfaction Threshold,Task Demand,4,178,0.00619783813736118,0.919567893228062,1.00661442971383,0.750920325600281,0.586864325288504,NaN,NaN,0.121289592510385,117350,-10550.1497048125,3046
Composite Threshold,Task Demand,4,178,0.00619783813736118,0.919567893228062,1.00661442971383,0.750920325600281,0.586864325288504,NaN,NaN,0.0921836283602226,240532,-1798.1497048125,646
Random Choice,Task Demand,4,178,0.00619783813736118,0.919567893228062,1.00661442971383,0.750920325600281,0.586864325288504,0.139202119851904,0.588944686986997,0.00149506539539075,200282,-2071.1497048125,4927
Response Threshold,Task Completion,4,178,0.00619783813736118,0.919567893228062,1.00661442971383,0.750920325600281,0.586864325288504,NaN,NaN,0.034838809743854,453562,74241.8502951875,945
Satisfaction Threshold,Task Completion,4,178,0.00619783813736118,0.919567893228062,1.00661442971383,0.750920325600281,0.586864325288504,NaN,NaN,0.0213713236169579,118788,-17631.1497048125,1894
Composite Threshold,Task Completion,4,178,0.00619783813736118,0.919567893228062,1.00661442971383,0.750920325600281,0.586864325288504,NaN,NaN,0.0417299873389512,475565,206600.850295187,510
Random Choice,Task Completion,4,178,0.00619783813736118,0.919567893228062,1.00661442971383,0.750920325600281,0.586864325288504,0.208372513372158,0.855418476262018,0.000924120035999274,298535,1970.8502951875,4673
Response Threshold,Task Demand,8,192,0.00124998471720286,0.549162388697699,9.70223616562607,0.866629376578349,0.469807100289993,NaN,NaN,0.00447959991557409,656217,-324300.267838436,1
Satisfaction Threshold,Task Demand,8,192,0.00124998471720286,0.549162388697699,9.70223616562607,0.866629376578349,0.469807100289993,NaN,NaN,0.445596391645865,89632,-61012.2678384362,4576
Composite Threshold,Task Demand,8,192,0.00124998471720286,0.549162388697699,9.70223616562607,0.866629376578349,0.469807100289993,NaN,NaN,0.474665007069126,88446,-79097.2678384362,4032
Random Choice,Task Demand,8,192,0.00124998471720286,0.549162388697699,9.70223616562607,0.866629376578349,0.469807100289993,0.840200315538228,0.0353662825798436,0.0120030327102785,65271,-335.267838436179,4912
Response Threshold,Task Completion,8,192,0.00124998471720286,0.549162388697699,9.70223616562607,0.866629376578349,0.469807100289993,NaN,NaN,0.000806691976268159,679653,-301375.267838436,1
Satisfaction Threshold,Task Completion,8,192,0.00124998471720286,0.549162388697699,9.70223616562607,0.866629376578349,0.469807100289993,NaN,NaN,0.236992509411902,84973,-55888.2678384362,3461
Composite Threshold,Task Completion,8,192,0.00124998471720286,0.549162388697699,9.70223616562607,0.866629376578349,0.469807100289993,NaN,NaN,0.269676008726525,93469,-58987.2678384362,3318
Random Choice,Task Completion,8,192,0.00124998471720286,0.549162388697699,9.70223616562607,0.866629376578349,0.469807100289993,0.789727824016417,0.0347638235684866,0.0133586559103835,63928,-1972.26783843618,4845
Response Threshold,Task Demand,1,405,0.00232006126455622,0.668469720718773,2.88832325189263,0.780233720206501,0.876540967476762,NaN,NaN,Inf,1267332,-100092.134635033,4161
Satisfaction Threshold,Task Demand,1,405,0.00232006126455622,0.668469720718773,2.88832325189263,0.780233720206501,0.876540967476762,NaN,NaN,Inf,693821,-65422.1346350326,3848
Composite Threshold,Task Demand,1,405,0.00232006126455622,0.668469720718773,2.88832325189263,0.780233720206501,0.876540967476762,NaN,NaN,Inf,746023,-68812.1346350326,2058
Random Choice,Task Demand,1,405,0.00232006126455622,0.668469720718773,2.88832325189263,0.780233720206501,0.876540967476762,0.750232646783888,0.706482415747181,Inf,1474124,-4131.13463503262,4925
Response Threshold,Task Completion,1,405,0.00232006126455622,0.668469720718773,2.88832325189263,0.780233720206501,0.876540967476762,NaN,NaN,Inf,1253114,-111118.134635033,3786
Satisfaction Threshold,Task Completion,1,405,0.00232006126455622,0.668469720718773,2.88832325189263,0.780233720206501,0.876540967476762,NaN,NaN,Inf,701982,-82141.1346350326,3611
Composite Threshold,Task Completion,1,405,0.00232006126455622,0.668469720718773,2.88832325189263,0.780233720206501,0.876540967476762,NaN,NaN,Inf,748503,-80648.1346350326,2007
Random Choice,Task Completion,1,405,0.00232006126455622,0.668469720718773,2.88832325189263,0.780233720206501,0.876540967476762,0.57225388399111,0.53602281817261,Inf,1121665,-2778.13463503262,4927
Response Threshold,Task Demand,2,598,0.00373577671402163,0.821096414203147,9.8540379649069,0.316847264279599,0.863554665695739,NaN,NaN,0.217929918702287,1489792,-53634.8408510144,1920
Satisfaction Threshold,Task Demand,2,598,0.00373577671402163,0.821096414203147,9.8540379649069,0.316847264279599,0.863554665695739,NaN,NaN,0.254793225477767,731663,-13432.8408510144,1193
Composite Threshold,Task Demand,2,598,0.00373577671402163,0.821096414203147,9.8540379649069,0.316847264279599,0.863554665695739,NaN,NaN,0.477767840924914,615059,-30143.8408510144,590
Random Choice,Task Demand,2,598,0.00373577671402163,0.821096414203147,9.8540379649069,0.316847264279599,0.863554665695739,0.359744575900892,0.747891804655612,0.000325145684820755,1453816,10908.1591489856,4685
Response Threshold,Task Completion,2,598,0.00373577671402163,0.821096414203147,9.8540379649069,0.316847264279599,0.863554665695739,NaN,NaN,0.231602757106408,1459124,-71325.8408510144,2165
Satisfaction Threshold,Task Completion,2,598,0.00373577671402163,0.821096414203147,9.8540379649069,0.316847264279599,0.863554665695739,NaN,NaN,0.155491858902569,740704,-44070.8408510144,1238
Composite Threshold,Task Completion,2,598,0.00373577671402163,0.821096414203147,9.8540379649069,0.316847264279599,0.863554665695739,NaN,NaN,0.366610231762085,802304,-51906.8408510144,813
Random Choice,Task Completion,2,598,0.00373577671402163,0.821096414203147,9.8540379649069,0.316847264279599,0.863554665695739,0.464634454652056,0.977035047746838,0.000186664466621881,1883970,3918.15914898564,4855
Response Threshold,Task Demand,4,61,0.0196916061404757,0.669538950460649,9.37078536169967,0.495356565151656,0.555897844607754,NaN,NaN,0.808097468082016,24659,-190.599660232619,216
Satisfaction Threshold,Task Demand,4,61,0.0196916061404757,0.669538950460649,9.37078536169967,0.495356565151656,0.555897844607754,NaN,NaN,0.00126118405976168,150477,59332.4003397674,91
Composite Threshold,Task Demand,4,61,0.0196916061404757,0.669538950460649,9.37078536169967,0.495356565151656,0.555897844607754,NaN,NaN,0.794737992738104,27205,-167.599660232619,95
Random Choice,Task Demand,4,61,0.0196916061404757,0.669538950460649,9.37078536169967,0.495356565151656,0.555897844607754,0.0584212944641302,0.862884486249309,0.00299222442685797,33556,787.400339767381,4175
Response Threshold,Task Completion,4,61,0.0196916061404757,0.669538950460649,9.37078536169967,0.495356565151656,0.555897844607754,NaN,NaN,0.484205107732526,35424,7822.40033976738,374
Satisfaction Threshold,Task Completion,4,61,0.0196916061404757,0.669538950460649,9.37078536169967,0.495356565151656,0.555897844607754,NaN,NaN,0.00707007819661242,148024,62928.4003397674,108
Composite Threshold,Task Completion,4,61,0.0196916061404757,0.669538950460649,9.37078536169967,0.495356565151656,0.555897844607754,NaN,NaN,0.449321520368921,30465,-24.5996602326195,780
Random Choice,Task Completion,4,61,0.0196916061404757,0.669538950460649,9.37078536169967,0.495356565151656,0.555897844607754,0.018466427761981,0.28716734936381,0.0144242320491103,10256,-306.599660232619,4926
